sitename,Address,firstComplaint,lastComplaint,NumOfComplaints,NumOfCleanups,NumOfEncampments,NumOfCamps,NumOfOutreachContacted,NumOfOutreachReferred,MapLatitude,MapLongitude,TargetDate,CleanupScheduledOrCompleteDate,CleanupStatus,CleanupID,CleanupSiteCondition,ComplaintSiteCondition,InspectionSiteCondition,OutreachSiteCondition,PoliceSiteCondition,MaintenanceSiteCondition,InventoryInfo,Documents,EncampmentStatus
NE Queen Anne greenbelt - billboard site,"1600 Aurora Avenue North, Seattle, WA 98109, USA",2/10/2014,3/6/2017,7,5,3,2,9,10,47.6333039,-122.3433795,2/19/2016,12/14/2015,C,4485,"1 Number of Photos, 4 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","4 Number of Structures, 1 Criminal Activity, 1 Alcohol / Drugs, ","4 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Number of Photos, ","4 Males Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
14th Ave NW and NW 46th St,"4601 14th Ave NW, Seattle, WA 98107, USA",12/23/2014,9/15/2017,8,5,1,4,6,6,47.605078,-122.329974,2/19/2016,11/26/2015,C,4486,,"1 Number of Structures, 1 Garbage / Litter, 1 Number of Structures, 4 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","4 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Magnolia Bridge (under bridge),"W Garfield St, Seattle, WA, USA",4/13/2009,4/19/2018,16,10,4,6,12,12,47.63347732,-122.3776692,2/23/2016,2/16/2016,C,4487,,"5 Number of Structures, 1 Garbage / Litter, 5 Number of Structures, 1 Garbage / Litter, ","8 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Weapons, 1 Alcohol / Drugs, 15 Number of Photos, ",,,,,"Cleanup Doc:      Inspection Doc:  005.JPG, 006.JPG, 007.JPG, 008.JPG, 009.JPG, 010.JPG, 011.JPG, 012.JPG, 013.JPG, 014.JPG, 015.JPG, 016.JPG, 017.JPG, 018.JPG, 019.JPG, 005.JPG, 006.JPG, 007.JPG, 008.JPG, 009.JPG, 010.JPG, 011.JPG, 012.JPG, 013.JPG, 014.JPG, 015.JPG, 016.JPG, 017.JPG, 018.JPG, 019.JPG,     Inventory Doc:      Site Doc:  ",Encampment
Under I-5 Convention Center,"1331 7th Ave, Seattle, WA 98101, USA",2/2/2016,2/26/2018,6,2,1,1,1,1,47.61165019,-122.3323047,2/23/2016,10/5/2016,C,4488,"4 Number of People, 6 Number of Structures, ","5 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, 1 Garbage / Litter, ","4 Number of People, 6 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Woodland Park south of Off Leash area,"1000 North 50th Street, Seattle, WA 98103, USA",9/5/2013,5/20/2018,8,6,1,5,4,4,47.67102289,-122.345295,2/24/2016,1/5/2016,C,4489,"2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","5 Number of Structures, 1 Human Waste, ",,"2 Males Contacted, 2 Number of Shelter Referrals (Male), ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 Colonnade Park,"1826 Franklin Ave E, Seattle, WA 98102, USA",5/18/2009,6/4/2018,50,27,2,25,14,16,47.635671,-122.324189,2/24/2016,2/3/2016,C,4490,"2 Personal Property Recovered, 3750 Weight of Garbage (lbs), 900 Total Labor Costs ($), 36 Total Staff Hours, 255 Other Costs ($), 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Alcohol / Drugs, ","1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Alcohol / Drugs, ","1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 4 Number of Photos, 1 Encampment Premium (Parks), ",,,"2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Personal Property Recovered, 2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Personal Property Recovered, ",,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 NB Offramp at NE 50th Street,"5th Ave NE & NE 50th St, Seattle, WA 98105, USA",4/26/2012,3/17/2017,9,5,2,3,4,4,47.6649718,-122.322854,2/24/2016,8/11/2016,C,4491,"2 Number of People, 3 Number of Structures, ","5 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, 1 Garbage / Litter, ","4 Number of People, 4 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","2 Males Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
E Duwamish Greenbelt - Beacon Ave S & Carkeek Dr S,"39th Ave S & Carkeek Dr S, Seattle, WA 98118, USA",2/5/2016,2/5/2016,1,1,0,1,0,0,47.52165856,-122.2833794,2/26/2016,5/10/2017,C,4492,,"1 Number of Structures, 1 Garbage / Litter, ","1 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
2nd Ave Ext S & S Washington St,"201 2nd Avenue Extension South, Seattle, WA 98104, USA",12/23/2009,6/26/2018,17,10,2,8,10,10,47.60135574,-122.3311352,2/26/2016,5/2/2016,C,4493,"5 Number of People, 3 Number of Structures, 1 Garbage / Litter, ","4 Number of Structures, 1 Garbage / Litter, ","2 Number of People, 2 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under southbound I-5 ramp off NE 5th St,"5th Ave NE & NE 50th St, Seattle, WA 98105, USA",2/8/2016,4/24/2016,2,1,0,1,0,0,47.6649718,-122.322854,2/29/2016,4/20/2017,C,4494,,"1 Garbage / Litter, 1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Franklin Ave E & I-5,"1520 Eastlake Avenue East, Seattle, WA 98102, USA",8/26/2013,5/25/2018,12,7,3,4,9,9,47.6328041,-122.3250083,2/29/2016,8/8/2016,C,4495,,"36 Number of Structures, 1 Garbage / Litter, 1 Rats / Mice, 1 Property Damage, 1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Fires, 1 Criminal Activity, 7 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
4520 2ND AVE NE,"4520 2nd Ave NE, Seattle, WA 98105, USA",2/8/2016,2/8/2016,1,1,0,1,0,0,47.661995,-122.326914,2/29/2016,9/7/2016,C,4496,,,"2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Green Lake,"Aurora Avenue North & West Green Lake Way N Seattle, WA",5/9/2014,7/11/2016,4,4,0,4,0,0,47.605078,-122.329974,2/29/2016,2/9/2016,C,4497,,"2 Number of People, ","2 Number of People, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
109 Yesler Way,"109 Yesler Way, Seattle, WA 98104, USA",2/8/2016,2/8/2016,1,1,0,1,0,0,47.60167591,-122.3327531,2/29/2016,3/29/2016,C,4498,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 & E Gwinn Pl  (west side),"Franklin Ave E & E Shelby St, Seattle, WA 98102, USA",10/21/2009,6/6/2017,4,2,0,2,1,1,47.6469877,-122.3234268,2/29/2016,6/28/2017,C,4499,"1 Personal Property Recovered, 13 Number of Structures, 1 Number of Vehicles, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, ","1 Garbage / Litter, 1 Criminal Activity, 4 Number of Structures, ","1 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
5th Ave NE & NE 57th St (at sound barrier wall),"5th Ave NE & NE 57th St, Seattle, WA 98105, USA",2/8/2016,4/12/2018,4,2,0,2,0,0,47.6700747,-122.3228568,2/29/2016,2/25/2016,C,4500,,"1 Garbage / Litter, 1 Criminal Activity, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Carkeek Park,"950 NW Carkeek Park Rd, Seattle, WA 98177, USA",9/2/2009,6/25/2018,18,13,5,8,4,4,47.71172078,-122.3725484,2/29/2016,2/9/2016,C,4501,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Emerson Street Overpass (on Nickerson),"2877 W Emerson St, Seattle, WA 98119, USA",2/9/2016,7/29/2016,3,2,1,1,0,0,47.65399284,-122.3771953,3/1/2016,2/22/2016,C,4502,,"1 Garbage / Litter, ","6 Number of People, 1 Garbage / Litter, ",,,,,"Cleanup Doc:      Inspection Doc:  005.JPG, 006.JPG, 007.JPG, 008.JPG, 009.JPG, 010.JPG, 011.JPG, 012.JPG, 005.JPG, 006.JPG, 007.JPG, 008.JPG, 009.JPG, 010.JPG, 011.JPG, 012.JPG,     Inventory Doc:      Site Doc:  ",Camping
NW Leary Way Triangle,"9th Ave NW & Leary Way NW, Seattle, WA 98107, USA",11/5/2008,5/18/2018,22,17,1,16,9,10,47.66346536,-122.3690164,3/1/2016,3/1/2016,C,4503,"1 Garbage / Litter, ","1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 3 Number of Structures, ","2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, ",,,,,"Cleanup Doc:      Inspection Doc:  003.JPG, 004.JPG, 005.JPG, 006.JPG,     Inventory Doc:      Site Doc:  ",Camping
Ballard Library sidewalk on NW 57th St,"5614 22nd Avenue Northwest, Seattle, WA 98107, USA",6/11/2015,5/4/2018,9,5,0,5,0,0,47.6698096,-122.3842709,3/1/2016,3/15/2016,C,4504,,"1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Eastlake Ave E & Mercer St,"Eastlake Avenue East & Mercer Street, Seattle, WA 98109, USA",8/11/2014,3/7/2017,3,3,0,3,3,3,47.624282,-122.3291725,3/1/2016,2/13/2017,C,4505,,"1 Garbage / Litter, 1 Property Damage, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
S Holgate St and Airport Way S,"Airport Way S & S Holgate St, Seattle, WA 98134, USA",11/24/2008,4/10/2018,20,17,3,14,13,13,47.58616548,-122.3212624,3/1/2016,3/23/2017,C,4506,,"1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Number of Structures, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Aurora 99 & Winslow Pl N,"916 North 36th Street, Seattle, WA 98103, USA",9/2/2015,5/9/2018,11,6,2,4,4,4,47.651078,-122.346502,3/1/2016,2/25/2016,C,4507,,"1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
9900 Myers Way S,"9900 Myers Way S, Seattle, WA 98168, USA",4/19/2013,5/9/2017,7,4,2,2,2,2,47.5141583,-122.3303457,3/1/2016,4/18/2016,C,4508,"2 Personal Property Recovered, 4 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 1 Fires, 1 Property Damage, ","1 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, 1 Garbage / Litter, 1 Criminal Activity, ","4 Number of People, 4 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 1 Fires, 1 Property Damage, ","3 Males Contacted, 1 Number of Shelter Referrals (Male), 1 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Japanese Garden,"Seattle, WA, USA",2/2/2016,10/3/2016,2,2,1,1,0,0,47.63041484,-122.2977171,2/23/2016,2/9/2016,C,4509,"10 Number of Photos, 2 Personal Property Recovered, 10 Total Staff Hours, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 2 Fires, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, ","1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 2 Fires, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Arboretum,"Seattle, WA, USA",3/10/2010,6/27/2018,15,7,2,5,6,6,47.64228976,-122.2912216,2/29/2016,10/30/2017,C,4510,,"1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, 1 Number of Structures, 3 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6th Ave &  James St,"500 6th Ave, Seattle, WA 98104, USA",7/1/2009,1/10/2018,25,18,9,9,28,28,47.6034623,-122.3274303,3/2/2016,11/19/2015,C,4511,,"11 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","11 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
6th Ave &  James St,"500 6th Ave, Seattle, WA 98104, USA",7/1/2009,1/10/2018,25,18,9,9,28,28,47.6034623,-122.3274303,3/2/2016,4/20/2016,C,4512,"2 Number of People, 2 Number of Structures, ","11 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 10 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Fires, ","2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","2 Males Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Gasworks Park,"2101 N Northlake Way, Seattle, WA 98103, USA",3/22/2011,9/21/2018,50,20,2,18,9,9,47.646865,-122.333933,3/2/2016,1/5/2015,C,4513,"6 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","1 Number of Structures, ","6 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
5th & Yesler,"Yesler Way & 5th Ave, Seattle, WA 98104, USA",11/1/2010,3/5/2018,7,5,1,4,1,1,47.6017876,-122.327393,3/3/2016,4/10/2016,C,4514,"2 Personal Property Recovered, 2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 2 Fires, ","2 Number of People, 2 Number of Structures, ","1 Number of People, 1 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Union University Boylston Parkette,"1320 University St, Seattle, WA 98101, USA",2/11/2016,2/11/2016,2,1,0,1,0,0,47.61269336,-122.324542,3/3/2016,4/11/2016,C,4515,,"2 Number of People, 1 Number of People, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Trolley Hill Park,"5th Ave W & W Blaine St, Seattle, WA 98119, USA",8/1/2011,2/7/2017,7,5,2,3,9,9,47.63474,-122.363677,3/3/2016,10/30/2017,C,4516,,"1 Garbage / Litter, 1 Human Waste, 10 Number of People, 3 Number of Structures, 1 Criminal Activity, 1 Garbage / Litter, 1 Criminal Activity, 1 Alcohol / Drugs, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Green Lake - N 70th & Aurora Ave N,"7201 E Green Lake Dr N, Seattle, WA 98115, USA",8/22/2014,10/29/2017,12,8,0,8,0,0,47.6795915,-122.345459,3/4/2016,2/13/2016,C,4517,,"1 Number of People, 2 Number of Structures, 4 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","1 Number of People, 2 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6th Ave & Cherry St - carpool lot under I-5,"600 Cherry St, Seattle, WA 98104, USA",12/29/2010,6/20/2016,11,3,0,3,8,8,47.60489,-122.3287353,3/4/2016,6/14/2016,C,4518,"6 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","6 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Garbage / Litter, 1 Human Waste, 4 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","4 Number of People, 2 Number of Structures, 1 Garbage / Litter, ","3 Males Contacted, 2 Females Contacted, 4 Males Contacted, 2 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under I-90 Sidewalks Rainier Ave S,"Rainier Avenue South & South Massachusetts Street, Seattle, WA 98144, USA",1/30/2015,5/2/2018,19,9,3,6,5,5,47.59004286,-122.3066183,3/4/2016,5/4/2016,C,4519,"6 Number of People, 6 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, ","3 Number of People, 1 Garbage / Litter, 1 Fires, ","6 Number of People, 6 Number of Structures, ","4 Males Contacted, 1 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
121 & 123 12th Ave E (Vacant homes),"121 12th Ave E, Seattle, WA 98102, USA",2/16/2016,2/16/2016,1,1,0,1,0,0,47.619403,-122.317315,3/8/2016,8/22/2016,C,4520,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
316 Florentia St (N of Bleitz Funeral Home),"316 Florentia St, Seattle, WA 98109, USA",2/16/2016,7/31/2017,2,2,1,1,1,1,47.6471262,-122.350565,3/8/2016,4/5/2016,C,4521,"1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","2 Number of People, 2 Number of Structures, ","1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
925 E Alder St,"925 E Alder St, Seattle, WA 98122, USA",11/6/2012,5/11/2017,7,4,0,4,2,2,47.6051132,-122.3197899,3/8/2016,5/2/2016,C,4522,"2 Number of People, 1 Number of Structures, 1 Garbage / Litter, ","2 Number of People, 1 Number of Structures, ","1 Number of People, 1 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Greenwood Park,"8809 Fremont Ave N, Seattle, WA 98103, USA",2/16/2016,7/2/2018,8,7,4,3,0,0,47.693142,-122.350248,3/8/2016,2/22/2016,C,4523,"5 Weight of Garbage (lbs), 50 Total Labor Costs ($), 2 Total Staff Hours, 2 Number of People, 1 Number of Structures, 1 Garbage / Litter, ","2 Number of Structures, ","2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6400 Seaview Ave NW,"6400 Seaview Ave NW, Seattle, WA 98107, USA",2/16/2016,8/15/2018,7,2,0,2,0,0,47.675119,-122.4061384,3/8/2016,8/30/2016,C,4524,,"1 Garbage / Litter, 1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Interurban Trail and N 122nd,"803 North 122nd Street, Seattle, WA 98133, USA",10/24/2014,2/14/2018,4,4,0,4,2,2,47.717612,-122.3490959,3/8/2016,3/9/2016,C,4525,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Ingraham High School field,"1527 N 130th St, Seattle, WA 98133, USA",2/17/2016,2/17/2016,1,1,0,1,0,0,47.722947,-122.33835,3/9/2016,3/2/2016,C,4526,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
1126 NW 52ND ST,"1126 NW 52nd St, Seattle, WA 98107, USA",2/17/2016,3/28/2016,3,1,0,1,0,0,47.66744274,-122.3736946,3/9/2016,4/5/2016,C,4527,,"1 Number of People, 1 Number of Structures, 1 Number of People, 1 Garbage / Litter, 1 Number of People, ","1 Number of People, 1 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
9th Ave NW & NW 48th Street,"9th Ave NW & NW 48th St, Seattle, WA 98107, USA",1/17/2014,2/17/2016,11,8,0,8,6,6,47.66550296,-122.3683834,3/9/2016,3/9/2016,C,4528,"2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, ","1 Number of Structures, 1 Garbage / Litter, ","2 Number of People, 1 Number of Structures, 1 Garbage / Litter, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Queen Anne Ave N & Roy St,"Queen Anne Ave N & Roy St, Seattle, WA 98109, USA",2/17/2016,7/14/2017,2,2,0,2,0,0,47.6254573,-122.3567066,3/9/2016,4/20/2016,C,4529,,"1 Number of People, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
E Union & Broadway,"1400 Broadway, Seattle, WA 98122, USA",2/17/2016,2/17/2016,1,1,0,1,0,0,47.6131064,-122.3204055,3/9/2016,3/2/2016,C,4530,,"1 Number of People, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
12725 33rd Ave NE,"12714 33rd Ave NE, Seattle, WA 98125, USA",2/17/2016,6/19/2018,2,2,0,2,0,0,47.721627,-122.2918132,3/9/2016,4/1/2016,C,4531,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
5th Ave NE & NE 55th St (at sound barrier wall),"5419 5th Ave NE, Seattle, WA 98105, USA",1/22/2016,2/17/2016,3,2,1,1,0,0,47.668464,-122.323168,3/9/2016,2/22/2016,C,4532,,"2 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
NE 130TH ST & 5TH AVE NE (Corner),"5th Ave NE & NE 130th St, Seattle, WA 98125, USA",2/17/2016,11/8/2018,2,2,0,2,0,0,47.7231109,-122.3236699,3/9/2016,10/31/2017,C,4533,,"1 Number of People, 1 Garbage / Litter, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
